Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.1
Horizontal Delay,0
Sample Interval,0.0001
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-5.000e-01,-0.16
-4.999e-01,0.08
-4.998e-01,-0.16
-4.997e-01,0.08
-4.996e-01,-0.16
-4.995e-01,0.08
-4.994e-01,-0.16
-4.993e-01,0.08
-4.992e-01,-0.16
-4.991e-01,0.08
-4.990e-01,-0.16
-4.989e-01,0.08
-4.988e-01,-0.16
-4.987e-01,0.08
-4.986e-01,-0.16
-4.985e-01,0.08
-4.984e-01,-0.16
-4.983e-01,0.08
-4.982e-01,-0.16
-4.981e-01,0.08
-4.980e-01,-0.16
-4.979e-01,0.08
-4.978e-01,-0.16
-4.977e-01,0.08
-4.976e-01,-0.16
-4.975e-01,0.08
-4.974e-01,-0.16
-4.973e-01,0.08
-4.972e-01,-0.16
-4.971e-01,0.08
-4.970e-01,-0.16
-4.969e-01,0.08
-4.968e-01,-0.16
-4.967e-01,0.08
-4.966e-01,-0.16
-4.965e-01,0.08
-4.964e-01,-0.16
-4.963e-01,0.08
-4.962e-01,-0.16
-4.961e-01,0.08
-4.960e-01,-0.16
-4.959e-01,0.08
-4.958e-01,-0.16
-4.957e-01,0.08
-4.956e-01,-0.16
-4.955e-01,0.08
-4.954e-01,-0.16
-4.953e-01,0.08
-4.952e-01,-0.16
-4.951e-01,0.08
-4.950e-01,-0.16
-4.949e-01,0.08
-4.948e-01,-0.16
-4.947e-01,4.96
-4.946e-01,-0.16
-4.945e-01,0.08
-4.944e-01,-0.16
-4.943e-01,0.08
-4.942e-01,-0.16
-4.941e-01,0.08
-4.940e-01,-0.16
-4.939e-01,0.08
-4.938e-01,-0.16
-4.937e-01,0.08
-4.936e-01,-0.16
-4.935e-01,0.08
-4.934e-01,-0.16
-4.933e-01,0.08
-4.932e-01,-0.16
-4.931e-01,0.08
-4.930e-01,-0.16
-4.929e-01,0.08
-4.928e-01,-0.16
-4.927e-01,0.08
-4.926e-01,-0.16
-4.925e-01,0.08
-4.924e-01,-0.16
-4.923e-01,0.08
-4.922e-01,-0.16
-4.921e-01,0.08
-4.920e-01,-0.16
-4.919e-01,0.08
-4.918e-01,-0.16
-4.917e-01,0.16
-4.916e-01,-0.16
-4.915e-01,0.08
-4.914e-01,-0.16
-4.913e-01,0.08
-4.912e-01,-0.16
-4.911e-01,0.08
-4.910e-01,-0.16
-4.909e-01,0.08
-4.908e-01,-0.16
-4.907e-01,0.08
-4.906e-01,-0.16
-4.905e-01,0.08
-4.904e-01,-0.16
-4.903e-01,0.08
-4.902e-01,-0.16
-4.901e-01,0.08
-4.900e-01,-0.16
-4.899e-01,0.08
-4.898e-01,-0.16
-4.897e-01,0.08
-4.896e-01,-0.16
-4.895e-01,0.08
-4.894e-01,-0.16
-4.893e-01,0.08
-4.892e-01,-0.16
-4.891e-01,0.08
-4.890e-01,-0.16
-4.889e-01,0.08
-4.888e-01,-0.16
-4.887e-01,0.08
-4.886e-01,-0.16
-4.885e-01,0.08
-4.884e-01,-0.16
-4.883e-01,0.08
-4.882e-01,-0.16
-4.881e-01,0.08
-4.880e-01,-0.16
-4.879e-01,0.16
-4.878e-01,-0.16
-4.877e-01,0.08
-4.876e-01,-0.16
-4.875e-01,0.08
-4.874e-01,-0.16
-4.873e-01,0.08
-4.872e-01,-0.16
-4.871e-01,0.08
-4.870e-01,-0.16
-4.869e-01,0.08
-4.868e-01,-0.16
-4.867e-01,0.08
-4.866e-01,-0.16
-4.865e-01,0.08
-4.864e-01,-0.16
-4.863e-01,0.08
-4.862e-01,-0.16
-4.861e-01,0.08
-4.860e-01,-0.16
-4.859e-01,0.08
-4.858e-01,-0.16
-4.857e-01,0.08
-4.856e-01,-0.16
-4.855e-01,0.08
-4.854e-01,-0.16
-4.853e-01,0.08
-4.852e-01,-0.16
-4.851e-01,0.08
-4.850e-01,-0.16
-4.849e-01,0.08
-4.848e-01,-0.16
-4.847e-01,0.08
-4.846e-01,-0.16
-4.845e-01,0.08
-4.844e-01,-0.16
-4.843e-01,0.08
-4.842e-01,-0.16
-4.841e-01,0.08
-4.840e-01,-0.16
-4.839e-01,0.08
-4.838e-01,-0.16
-4.837e-01,0.08
-4.836e-01,-0.16
-4.835e-01,0.08
-4.834e-01,-0.16
-4.833e-01,0.08
-4.832e-01,-0.16
-4.831e-01,0.08
-4.830e-01,-0.16
-4.829e-01,0.08
-4.828e-01,-0.16
-4.827e-01,0.08
-4.826e-01,-0.16
-4.825e-01,0.08
-4.824e-01,-0.16
-4.823e-01,0.08
-4.822e-01,-0.16
-4.821e-01,0.08
-4.820e-01,-0.16
-4.819e-01,0.08
-4.818e-01,-0.16
-4.817e-01,0.08
-4.816e-01,-0.16
-4.815e-01,0.08
-4.814e-01,-0.16
-4.813e-01,0.08
-4.812e-01,-0.16
-4.811e-01,0.08
-4.810e-01,-0.16
-4.809e-01,0.08
-4.808e-01,-0.16
-4.807e-01,0.08
-4.806e-01,-0.16
-4.805e-01,0.08
-4.804e-01,-0.16
-4.803e-01,0.08
-4.802e-01,-0.16
-4.801e-01,0.08
-4.800e-01,-0.16
-4.799e-01,0.08
-4.798e-01,-0.16
-4.797e-01,0.08
-4.796e-01,-0.16
-4.795e-01,0.08
-4.794e-01,-0.16
-4.793e-01,0.08
-4.792e-01,-0.16
-4.791e-01,0.08
-4.790e-01,-0.16
-4.789e-01,0.08
-4.788e-01,-0.16
-4.787e-01,0.16
-4.786e-01,-0.16
-4.785e-01,0.08
-4.784e-01,-0.16
-4.783e-01,0.08
-4.782e-01,-0.16
-4.781e-01,0.08
-4.780e-01,-0.16
-4.779e-01,0.08
-4.778e-01,-0.16
-4.777e-01,0.08
-4.776e-01,-0.16
-4.775e-01,0.08
-4.774e-01,-0.16
-4.773e-01,0.08
-4.772e-01,-0.16
-4.771e-01,0.08
-4.770e-01,-0.16
-4.769e-01,0.08
-4.768e-01,-0.16
-4.767e-01,0.08
-4.766e-01,-0.16
-4.765e-01,0.08
-4.764e-01,-0.16
-4.763e-01,0.08
-4.762e-01,-0.16
-4.761e-01,0.08
-4.760e-01,-0.16
-4.759e-01,0.08
-4.758e-01,-0.16
-4.757e-01,0.08
-4.756e-01,-0.16
-4.755e-01,0.08
-4.754e-01,-0.16
-4.753e-01,0.08
-4.752e-01,-0.16
-4.751e-01,0.08
-4.750e-01,-0.16
-4.749e-01,0.08
-4.748e-01,-0.16
-4.747e-01,4.88
-4.746e-01,-0.16
-4.745e-01,0.08
-4.744e-01,-0.16
-4.743e-01,0.08
-4.742e-01,-0.16
-4.741e-01,0.08
-4.740e-01,-0.16
-4.739e-01,0.08
-4.738e-01,-0.16
-4.737e-01,0.08
-4.736e-01,-0.16
-4.735e-01,0.08
-4.734e-01,-0.16
-4.733e-01,0.08
-4.732e-01,-0.16
-4.731e-01,0.08
-4.730e-01,-0.16
-4.729e-01,0.08
-4.728e-01,-0.16
-4.727e-01,0.08
-4.726e-01,-0.16
-4.725e-01,0.08
-4.724e-01,-0.16
-4.723e-01,0.08
-4.722e-01,-0.16
-4.721e-01,0.08
-4.720e-01,-0.16
-4.719e-01,0.08
-4.718e-01,-0.16
-4.717e-01,0.08
-4.716e-01,-0.16
-4.715e-01,0.08
-4.714e-01,-0.16
-4.713e-01,0.08
-4.712e-01,-0.16
-4.711e-01,0.08
-4.710e-01,-0.16
-4.709e-01,0.08
-4.708e-01,-0.16
-4.707e-01,0.08
-4.706e-01,-0.16
-4.705e-01,0.08
-4.704e-01,-0.16
-4.703e-01,0.08
-4.702e-01,-0.16
-4.701e-01,0.08
-4.700e-01,-0.16
-4.699e-01,0.08
-4.698e-01,-0.16
-4.697e-01,0.08
-4.696e-01,-0.16
-4.695e-01,0.08
-4.694e-01,-0.16
-4.693e-01,0.08
-4.692e-01,-0.16
-4.691e-01,0.08
-4.690e-01,-0.16
-4.689e-01,0.08
-4.688e-01,-0.16
-4.687e-01,0.08
-4.686e-01,-0.16
-4.685e-01,0.08
-4.684e-01,-0.16
-4.683e-01,0.08
-4.682e-01,-0.16
-4.681e-01,0.08
-4.680e-01,-0.16
-4.679e-01,0.08
-4.678e-01,-0.16
-4.677e-01,0.08
-4.676e-01,-0.16
-4.675e-01,0.08
-4.674e-01,-0.16
-4.673e-01,0.08
-4.672e-01,-0.16
-4.671e-01,0.08
-4.670e-01,-0.16
-4.669e-01,0.08
-4.668e-01,-0.16
-4.667e-01,0.08
-4.666e-01,-0.16
-4.665e-01,0.08
-4.664e-01,-0.16
-4.663e-01,0.08
-4.662e-01,-0.16
-4.661e-01,0.08
-4.660e-01,-0.16
-4.659e-01,0.08
-4.658e-01,-0.16
-4.657e-01,0.08
-4.656e-01,-0.16
-4.655e-01,0.08
-4.654e-01,-0.16
-4.653e-01,0.08
-4.652e-01,-0.16
-4.651e-01,0.08
-4.650e-01,-0.16
-4.649e-01,0.08
-4.648e-01,-0.24
-4.647e-01,0.08
-4.646e-01,-0.16
-4.645e-01,0.08
-4.644e-01,-0.16
-4.643e-01,0.08
-4.642e-01,-0.16
-4.641e-01,0.08
-4.640e-01,-0.16
-4.639e-01,0.08
-4.638e-01,-0.16
-4.637e-01,0.08
-4.636e-01,-0.16
-4.635e-01,0.08
-4.634e-01,-0.16
-4.633e-01,0.08
-4.632e-01,-0.16
-4.631e-01,0.08
-4.630e-01,-0.16
-4.629e-01,0.08
-4.628e-01,-0.16
-4.627e-01,0.08
-4.626e-01,-0.16
-4.625e-01,0.08
-4.624e-01,-0.16
-4.623e-01,0.08
-4.622e-01,-0.16
-4.621e-01,0.08
-4.620e-01,-0.16
-4.619e-01,0.08
-4.618e-01,-0.16
-4.617e-01,0.08
-4.616e-01,-0.16
-4.615e-01,0.08
-4.614e-01,-0.16
-4.613e-01,0.08
-4.612e-01,-0.16
-4.611e-01,0.08
-4.610e-01,-0.16
-4.609e-01,0.08
-4.608e-01,-0.16
-4.607e-01,0.08
-4.606e-01,-0.16
-4.605e-01,0.08
-4.604e-01,-0.16
-4.603e-01,0.08
-4.602e-01,-0.16
-4.601e-01,0.08
-4.600e-01,-0.16
-4.599e-01,0.08
-4.598e-01,-0.16
-4.597e-01,0.08
-4.596e-01,-0.16
-4.595e-01,0.08
-4.594e-01,-0.16
-4.593e-01,0.08
-4.592e-01,-0.16
-4.591e-01,0.08
-4.590e-01,-0.16
-4.589e-01,0.08
-4.588e-01,-0.16
-4.587e-01,0.08
-4.586e-01,-0.16
-4.585e-01,0.08
-4.584e-01,-0.16
-4.583e-01,0.08
-4.582e-01,-0.16
-4.581e-01,0.08
-4.580e-01,-0.16
-4.579e-01,0.08
-4.578e-01,-0.16
-4.577e-01,0.08
-4.576e-01,-0.16
-4.575e-01,0.08
-4.574e-01,-0.16
-4.573e-01,0.08
-4.572e-01,-0.16
-4.571e-01,0.08
-4.570e-01,-0.16
-4.569e-01,0.08
-4.568e-01,-0.16
-4.567e-01,0.08
-4.566e-01,-0.16
-4.565e-01,0.08
-4.564e-01,-0.16
-4.563e-01,0.08
-4.562e-01,-0.16
-4.561e-01,0.08
-4.560e-01,-0.16
-4.559e-01,0.08
-4.558e-01,-0.16
-4.557e-01,0.08
-4.556e-01,-0.16
-4.555e-01,0.08
-4.554e-01,-0.16
-4.553e-01,0.08
-4.552e-01,-0.16
-4.551e-01,0.08
-4.550e-01,-0.16
-4.549e-01,0.08
-4.548e-01,-0.16
-4.547e-01,4.96
-4.546e-01,-0.16
-4.545e-01,0.08
-4.544e-01,-0.16
-4.543e-01,0.08
-4.542e-01,-0.16
-4.541e-01,0.08
-4.540e-01,-0.16
-4.539e-01,0.08
-4.538e-01,-0.16
-4.537e-01,0.08
-4.536e-01,-0.16
-4.535e-01,0.08
-4.534e-01,-0.16
-4.533e-01,0.08
-4.532e-01,-0.16
-4.531e-01,0.08
-4.530e-01,-0.16
-4.529e-01,0.08
-4.528e-01,-0.16
-4.527e-01,0.08
-4.526e-01,-0.16
-4.525e-01,0.08
-4.524e-01,-0.16
-4.523e-01,0.08
-4.522e-01,-0.16
-4.521e-01,0.08
-4.520e-01,-0.16
-4.519e-01,0.08
-4.518e-01,-0.16
-4.517e-01,0.08
-4.516e-01,-0.16
-4.515e-01,0.08
-4.514e-01,-0.16
-4.513e-01,0.08
-4.512e-01,-0.16
-4.511e-01,0.08
-4.510e-01,-0.16
-4.509e-01,0.08
-4.508e-01,-0.16
-4.507e-01,0.08
-4.506e-01,-0.16
-4.505e-01,0.08
-4.504e-01,-0.16
-4.503e-01,0.08
-4.502e-01,-0.16
-4.501e-01,0.08
-4.500e-01,-0.16
-4.499e-01,0.16
-4.498e-01,-0.16
-4.497e-01,0.08
-4.496e-01,-0.16
-4.495e-01,0.08
-4.494e-01,-0.16
-4.493e-01,0.08
-4.492e-01,-0.16
-4.491e-01,0.08
-4.490e-01,-0.16
-4.489e-01,0.08
-4.488e-01,-0.16
-4.487e-01,0.08
-4.486e-01,-0.16
-4.485e-01,0.08
-4.484e-01,-0.16
-4.483e-01,0.08
-4.482e-01,-0.16
-4.481e-01,0.08
-4.480e-01,-0.16
-4.479e-01,0.08
-4.478e-01,-0.16
-4.477e-01,0.08
-4.476e-01,-0.16
-4.475e-01,0.08
-4.474e-01,-0.16
-4.473e-01,0.08
-4.472e-01,-0.16
-4.471e-01,0.08
-4.470e-01,-0.16
-4.469e-01,0.08
-4.468e-01,-0.16
-4.467e-01,0.08
-4.466e-01,-0.16
-4.465e-01,0.08
-4.464e-01,-0.16
-4.463e-01,0.08
-4.462e-01,-0.16
-4.461e-01,0.08
-4.460e-01,-0.16
-4.459e-01,0.08
-4.458e-01,-0.16
-4.457e-01,0.08
-4.456e-01,-0.16
-4.455e-01,0.08
-4.454e-01,-0.16
-4.453e-01,0.08
-4.452e-01,-0.16
-4.451e-01,0.08
-4.450e-01,-0.16
-4.449e-01,0.08
-4.448e-01,-0.16
-4.447e-01,0.08
-4.446e-01,-0.16
-4.445e-01,0.08
-4.444e-01,-0.16
-4.443e-01,0.08
-4.442e-01,-0.16
-4.441e-01,0.08
-4.440e-01,-0.16
-4.439e-01,0.08
-4.438e-01,-0.16
-4.437e-01,0.08
-4.436e-01,-0.16
-4.435e-01,0.08
-4.434e-01,-0.16
-4.433e-01,0.08
-4.432e-01,-0.16
-4.431e-01,0.08
-4.430e-01,-0.16
-4.429e-01,0.08
-4.428e-01,-0.16
-4.427e-01,0.08
-4.426e-01,-0.16
-4.425e-01,0.08
-4.424e-01,-0.16
-4.423e-01,0.08
-4.422e-01,-0.16
-4.421e-01,0.08
-4.420e-01,-0.16
-4.419e-01,0.08
-4.418e-01,-0.16
-4.417e-01,0.08
-4.416e-01,-0.16
-4.415e-01,0.08
-4.414e-01,-0.16
-4.413e-01,0.08
-4.412e-01,-0.16
-4.411e-01,0.08
-4.410e-01,-0.16
-4.409e-01,0.08
-4.408e-01,-0.16
-4.407e-01,0.08
-4.406e-01,-0.16
-4.405e-01,0.08
-4.404e-01,-0.16
-4.403e-01,0.08
-4.402e-01,-0.16
-4.401e-01,0.08
-4.400e-01,-0.16
-4.399e-01,0.08
-4.398e-01,-0.16
-4.397e-01,0.08
-4.396e-01,-0.16
-4.395e-01,0.08
-4.394e-01,-0.16
-4.393e-01,0.08
-4.392e-01,-0.16
-4.391e-01,0.08
-4.390e-01,-0.16
-4.389e-01,0.08
-4.388e-01,-0.16
-4.387e-01,0.08
-4.386e-01,-0.16
-4.385e-01,0.08
-4.384e-01,-0.16
-4.383e-01,0.08
-4.382e-01,-0.16
-4.381e-01,0.08
-4.380e-01,-0.16
-4.379e-01,0.08
-4.378e-01,-0.16
-4.377e-01,0.08
-4.376e-01,-0.16
-4.375e-01,0.08
-4.374e-01,-0.16
-4.373e-01,0.08
-4.372e-01,-0.16
-4.371e-01,0.08
-4.370e-01,-0.16
-4.369e-01,0.08
-4.368e-01,-0.16
-4.367e-01,0.16
-4.366e-01,-0.16
-4.365e-01,0.08
-4.364e-01,-0.16
-4.363e-01,0.08
-4.362e-01,-0.16
-4.361e-01,0.08
-4.360e-01,-0.16
-4.359e-01,0.08
-4.358e-01,-0.16
-4.357e-01,0.08
-4.356e-01,-0.16
-4.355e-01,0.08
-4.354e-01,-0.16
-4.353e-01,0.08
-4.352e-01,-0.16
-4.351e-01,0.08
-4.350e-01,-0.16
-4.349e-01,0.08
-4.348e-01,-0.16
-4.347e-01,4.96
-4.346e-01,-0.16
-4.345e-01,0.08
-4.344e-01,-0.16
-4.343e-01,0.08
-4.342e-01,-0.16
